date,description,amount,balance
2025-09-02,POS PURCHASE - FRY'S FOOD #412 PHOENIX AZ,-52.18,327.82
2025-09-03,POS PURCHASE - CIRCLE K #2207 PHOENIX AZ,-41.30,286.52
2025-09-05,ACH DEPOSIT - DESERT RIDGE DIESEL DIR DEP,1461.54,1748.06
2025-09-05,ZELLE TO MARIA FUENTES - RENT,-450.00,1298.06
2025-09-06,RECURRING - SPOTIFY USA,-11.99,1286.07
2025-09-07,RECURRING - PLANET FITNESS BLACK CARD,-24.99,1261.08
2025-09-08,RECURRING - APPLE ICLOUD STORAGE,-2.99,1258.09
2025-09-08,ATM CASH WITHDRAWAL - DAILY SPENDING,-289.69,968.40
2025-09-09,POS PURCHASE - FOOD CITY #028 PHOENIX AZ,-38.74,929.66
2025-09-10,POS PURCHASE - CIRCLE K #2207 PHOENIX AZ,-39.85,889.81
2025-09-11,TRANSFER - SSCU VISA PAYMENT ****4471,-35.00,854.81
2025-09-12,RECURRING - FITFUEL MEAL PLAN,-13.49,841.32
2025-09-13,POS PURCHASE - EL POLLO LOCO #345,-16.40,824.92
2025-09-14,RECURRING - AUDIBLE MEMBERSHIP,-14.95,809.97
2025-09-15,BRANCH CASH WITHDRAWAL - TUITION,-960.00,-150.03
2025-09-16,POS PURCHASE - AUTOZONE #1192 PHOENIX AZ,-28.65,-178.68
2025-09-17,ACH - GEICO AUTO INSURANCE,-135.00,-313.68
2025-09-18,POS PURCHASE - FRY'S FOOD #412 PHOENIX AZ,-61.07,-374.75
2025-09-19,ACH DEPOSIT - DESERT RIDGE DIESEL DIR DEP,1461.54,1086.79
2025-09-19,TRANSFER TO SAVINGS ****8831,-50.00,1036.79
2025-09-20,POS PURCHASE - QUIKTRIP #418 PHOENIX AZ,-43.10,993.69
2025-09-21,POS PURCHASE - QUIKTRIP #418 PHOENIX AZ,-43.10,950.59
2025-09-22,POS ADJUSTMENT - QUIKTRIP #418 REVERSAL,43.10,993.69
2025-09-23,RECURRING - T-MOBILE PREPAID,-55.00,938.69
2025-09-24,POS PURCHASE - FOOD CITY #028 PHOENIX AZ,-44.21,894.48
2025-09-25,POS PURCHASE - TACOS CALAFIA PHOENIX AZ,-22.30,872.18
2025-09-26,POS PURCHASE - CIRCLE K #2207 PHOENIX AZ,-38.40,833.78
2025-09-27,RECURRING - NETFLIX.COM,-15.49,818.29
2025-09-28,POS PURCHASE - WALGREENS #6621 PHOENIX AZ,-18.66,799.63
2025-09-29,POS PURCHASE - FRY'S FOOD #412 PHOENIX AZ,-49.93,749.70
2025-09-29,ZELLE TO MARIA FUENTES - FAMILY HELP,-289.70,460.00
2025-09-30,MOBILE CHECK DEPOSIT - SIDE JOB CASH,80.00,540.00
